iteracao,temperatura,f_atual,f_vizinho,delta,prob_aceitacao,aceite,movimento,melhor_ate_agora
258,0.020383,3061,3061,0,1.0,Sim,Troca inter-playlist: 'Transgender' (PL4) ↔ 'Super Freaky Girl' (PL2),3061
259,0.020383,3061,3029,32,0.0,Não,Substituição em PL1: 'Levels - Radio Edit' → 'Tarcu',3061
260,0.020383,3061,3008,53,0.0,Não,Substituição em PL4: 'La Curiosidad' → 'The Whiskey or the Coal',3061
261,0.020383,3061,3061,0,1.0,Sim,Troca inter-playlist: 'Disconnected' (PL4) ↔ 'Moonlight' (PL2),3061
262,0.020383,3061,3032,29,0.0,Não,Substituição em PL4: 'La Curiosidad' → 'Stay - Jonas Blue Remix',3061
263,0.020383,3061,3061,0,1.0,Sim,Troca inter-playlist: 'The Eve' (PL3) ↔ 'Neverita' (PL2),3061
264,0.020383,3061,3042,19,0.0,Não,Substituição em PL4: 'As It Was' → 'Flaming Hot Cheetos',3061
265,0.020383,3061,3061,0,1.0,Sim,Troca inter-playlist: 'Dancing' (PL2) ↔ 'Neverita' (PL3),3061
266,0.020383,3061,3061,0,1.0,Sim,Troca inter-playlist: 'attached' (PL2) ↔ 'Moonlight' (PL4),3061
267,0.020383,3061,3061,0,1.0,Sim,Troca inter-playlist: 'Super Freaky Girl' (PL4) ↔ 'The Eve' (PL2),3061
268,0.020383,3061,3014,47,0.0,Não,Substituição em PL2: 'Disconnected' → 'Wolf - Judge Bitch Remix',3061
269,0.020383,3061,3061,0,1.0,Sim,Troca inter-playlist: 'Hands Up - Single Version' (PL2) ↔ 'attached' (PL4),3061
270,0.020383,3061,3002,59,0.0,Não,Substituição em PL4: 'La Curiosidad' → 'Bastard Angel',3061
